Question,<EndOfPreviousCellColumn>,Difficulty,<EndOfPreviousCellColumn>,Correct Answer,<EndOfPreviousCellColumn>,Wrong answer 1,<EndOfPreviousCellColumn>,Wrong answer 2,<EndOfPreviousCellColumn>,Wrong answer 3
What is the size of boolean variable?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,16 bit,<EndOfPreviousCellColumn>,8 bit ,<EndOfPreviousCellColumn>,32 bit,<EndOfPreviousCellColumn>,not precisely defined
What is the default value of byte variable?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,0,<EndOfPreviousCellColumn>,0,<EndOfPreviousCellColumn>,null,<EndOfPreviousCellColumn>,not defined
Which of the following is true about protected access modifier?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected can be accessed by any class lying in same package.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected can be accessed by any class.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected in the superclass can be accessed only by its child class.",<EndOfPreviousCellColumn>,None of the above.
What is local variable?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,"Variables defined inside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,"Variables defined outside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,"Static variables defined outside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,None of the above.
Dynamic binding uses which information for binding?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,object.,<EndOfPreviousCellColumn>,type.,<EndOfPreviousCellColumn>,Both of the above.,<EndOfPreviousCellColumn>,None of the above.
What invokes a thread's run() method?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,JVM invokes the thread's run() method when the thread is initially executed.,<EndOfPreviousCellColumn>,Main application running the thread.,<EndOfPreviousCellColumn>,start() method of the thread class.,<EndOfPreviousCellColumn>,None of the above.
Under what conditions is an object's finalize() method invoked by the garbage collector?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,When it detects that the object has become unreachable.,<EndOfPreviousCellColumn>,As soon as object is set as null.,<EndOfPreviousCellColumn>,At fixed intervalm it checks for null value.,<EndOfPreviousCellColumn>,None of the above.
Which of the following is a thread safe?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,StringBuffer,<EndOfPreviousCellColumn>,Both of the above,<EndOfPreviousCellColumn>,none of the above,<EndOfPreviousCellColumn>,StringBuilder
What is static block?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,"It is used to initialize the static data member., It is excuted before main method at the time of class loading.",<EndOfPreviousCellColumn>,None of the above.,<EndOfPreviousCellColumn>,There is no such block.,<EndOfPreviousCellColumn>,It is used to create syncronized code.
Which of the following is true about String?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,String is immutable,<EndOfPreviousCellColumn>,String is mutable.,<EndOfPreviousCellColumn>,String is a data type.,<EndOfPreviousCellColumn>,None of the above.
What is NullPointerException?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,A NullPointerException is thrown when calling the instance method of a null object or modifying/accessing field of a null object.,<EndOfPreviousCellColumn>,A NullPointerException is thrown when object is set as null.,<EndOfPreviousCellColumn>,A NullPointerException is thrown when object property is set as null.,<EndOfPreviousCellColumn>,None of the above.
What is the default value of float variable?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,0.0f,<EndOfPreviousCellColumn>,0.0d,<EndOfPreviousCellColumn>,0,<EndOfPreviousCellColumn>,not defined
Which of the following is true about protected access modifier?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected can be accessed by any class lying in same package.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected can be accessed by any class.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected in the superclass can be accessed only by its child class.",<EndOfPreviousCellColumn>,None of the above.
What is local variable?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,"Variables defined inside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,"Variables defined outside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,"Static variables defined outside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,None of the above.
What is TreeSet Interface?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,It is a Set implemented when we want elements in a sorted order.,<EndOfPreviousCellColumn>,It is a Set implemented when we want elements in a tree based order.,<EndOfPreviousCellColumn>,It is a Set implemented when we want elements in a binary tree format.,<EndOfPreviousCellColumn>,It is a Set implemented when we want elements in a hiearchical order.
Dynamic binding uses which information for binding?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,object.,<EndOfPreviousCellColumn>,type.,<EndOfPreviousCellColumn>,Both of the above.,<EndOfPreviousCellColumn>,None of the above.
What is polymorphism?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,Polymorphism is the ability of an object to take on many forms.,<EndOfPreviousCellColumn>,Polymorphism is a technique to define different objects of same type.,<EndOfPreviousCellColumn>,Polymorphism is a technique to define different methods of same type.,<EndOfPreviousCellColumn>,None of the above.
What is an applet?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,An applet is a Java program that runs in a Web browser.,<EndOfPreviousCellColumn>,Applet is a standalone java program.,<EndOfPreviousCellColumn>,Applet is a tool.,<EndOfPreviousCellColumn>,Applet is a run time environment.
When static binding occurs?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,Static binding occurs during Compile time.,<EndOfPreviousCellColumn>,Static binding occurs during load time.,<EndOfPreviousCellColumn>,Static binding occurs during runtime.,<EndOfPreviousCellColumn>,None of the above.
Which of the following is false about String?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,String is a primary data type.,<EndOfPreviousCellColumn>,String can be created using new operator.,<EndOfPreviousCellColumn>,String is immutable.,<EndOfPreviousCellColumn>,None of the above.
Which of the following is true about super class?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,All of the above.,<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared public in the superclass can be accessed by any class.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected can be accessed by any subclass of the super class.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared private can be accessed only by the members of the super class."
What is the name of the process by which two or more strings are joined together?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,Concatenation,<EndOfPreviousCellColumn>,charAt,<EndOfPreviousCellColumn>,Association,<EndOfPreviousCellColumn>,Method
Which interface should be used by a Java program to be able to play audio files?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,AudioClip,<EndOfPreviousCellColumn>,TextListener,<EndOfPreviousCellColumn>,WindowListener,<EndOfPreviousCellColumn>,ActionListener
"What will be the output of this code? \n String aString = ""Crayons are great!""; \n System.out.print(aString.charAt(8));",<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,a,<EndOfPreviousCellColumn>,s,<EndOfPreviousCellColumn>,n,<EndOfPreviousCellColumn>,r
Which method is used in every Java program?,<EndOfPreviousCellColumn>,Easy,<EndOfPreviousCellColumn>,main(),<EndOfPreviousCellColumn>,System.out.println(),<EndOfPreviousCellColumn>,System.out.print(),<EndOfPreviousCellColumn>,type()
What is the difference between a try-catch block and a try-catch-finally block?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,"try-catch contains code to execute if an error occurs or not, while try-catch-finally works the same way as try-catch block with the addition of a set of code that will execute whether an error occurs or not.",<EndOfPreviousCellColumn>,"try-catch contains code to execute only if an error occurs, try-catch-finally contains code to execute whether an occurs or not",<EndOfPreviousCellColumn>,"try-catch contains code to execute whether an occurs or not, try-catch-finally contains code to execute only if an error occurs",<EndOfPreviousCellColumn>,"Same thing, different names"
Which loop type would you use to repeat a task a set number of times?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,for,<EndOfPreviousCellColumn>,while ,<EndOfPreviousCellColumn>,switch,<EndOfPreviousCellColumn>,do-while
Which package needs to be imported so that you can accept user input?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,java.io,<EndOfPreviousCellColumn>,java.awt,<EndOfPreviousCellColumn>,java.util,<EndOfPreviousCellColumn>,java.awt.event
Which of the following snippets of code can be used to instantiate an object?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,Class A = new AClass();,<EndOfPreviousCellColumn>,AClass.create();,<EndOfPreviousCellColumn>,AClass.instantiate();,<EndOfPreviousCellColumn>,AClass.newClass()
Which of the following can be used to access the first element of an array named arrOne?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,arrOne[0],<EndOfPreviousCellColumn>,arrOne[3],<EndOfPreviousCellColumn>,arrOne[1],<EndOfPreviousCellColumn>,arrOne[2]
Which keyword would you use if you wanted a class to use an interface?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,implements,<EndOfPreviousCellColumn>,new,<EndOfPreviousCellColumn>,extends,<EndOfPreviousCellColumn>,main()
Which layout class would you use to lay out components from left to right?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,FlowLayout,<EndOfPreviousCellColumn>,SpacedLayout,<EndOfPreviousCellColumn>,GridLayout,<EndOfPreviousCellColumn>,DirLayout
What kind of data will this variable store - char fName;,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,A single character,<EndOfPreviousCellColumn>,Text string,<EndOfPreviousCellColumn>,Numeric,<EndOfPreviousCellColumn>,true/false value
Which of the following GUI components can be included in a Java frame?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,"textbox, label, button, images",<EndOfPreviousCellColumn>,button,<EndOfPreviousCellColumn>,label,<EndOfPreviousCellColumn>,textbox
What is the purpose of a class constructor?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,To make objects initially have certain values when they are instantiated,<EndOfPreviousCellColumn>,To extend a class,<EndOfPreviousCellColumn>,To pass values to methods for a class,<EndOfPreviousCellColumn>,To instantiate an object
What is it called when an instance of a class is also an instance of its superclass?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,Polymorphism,<EndOfPreviousCellColumn>,Encapsulation,<EndOfPreviousCellColumn>,Inheritance,<EndOfPreviousCellColumn>,Instantiation
This code - double randNumber = (int) (Math.random() * 40 + 20); will generate a random number between what range?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,20-40,<EndOfPreviousCellColumn>,0-60,<EndOfPreviousCellColumn>,0-40,<EndOfPreviousCellColumn>,20-60
Which Java exception should be used to handle input/output errors?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,IOException,<EndOfPreviousCellColumn>,NoSuchMethodException,<EndOfPreviousCellColumn>,InputException,<EndOfPreviousCellColumn>,ArithmeticException
Which package is imported by default into Java programs?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,java.lang,<EndOfPreviousCellColumn>,java.io,<EndOfPreviousCellColumn>,java.awt,<EndOfPreviousCellColumn>,java.awt.font
Which HTML tag can be used to place applets on a webpage?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,< applet >,<EndOfPreviousCellColumn>,< body >,<EndOfPreviousCellColumn>,< form >,<EndOfPreviousCellColumn>,< meta >
Which keyword would you use to break out of a loop?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,break,<EndOfPreviousCellColumn>,for ,<EndOfPreviousCellColumn>,while,<EndOfPreviousCellColumn>,continue
Which of the following would you use to test a variable for five different values?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,switch statement,<EndOfPreviousCellColumn>,else statement,<EndOfPreviousCellColumn>,else-if statement,<EndOfPreviousCellColumn>,if statement
Which interface would you use to handle the event of a user clicking inside a textbox?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,FocusListener,<EndOfPreviousCellColumn>,WindowListener,<EndOfPreviousCellColumn>,KeyListener,<EndOfPreviousCellColumn>,ActionListener
Which of the following is true about protected access modifier?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected can be accessed by any class lying in same package.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected can be accessed by any class.",<EndOfPreviousCellColumn>,"Variables, methods and constructors which are declared protected in the superclass can be accessed only by its child class.",<EndOfPreviousCellColumn>,None of the above.
What is local variable?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,"Variables defined inside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,"Variables defined outside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,"Static variables defined outside methods, constructors or blocks are called local variables.",<EndOfPreviousCellColumn>,None of the above.
What is TreeSet Interface?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,It is a Set implemented when we want elements in a sorted order.,<EndOfPreviousCellColumn>,It is a Set implemented when we want elements in a tree based order.,<EndOfPreviousCellColumn>,It is a Set implemented when we want elements in a binary tree format.,<EndOfPreviousCellColumn>,It is a Set implemented when we want elements in a hiearchical order.
Dynamic binding uses which information for binding?,<EndOfPreviousCellColumn>,Normal,<EndOfPreviousCellColumn>,object.,<EndOfPreviousCellColumn>,type.,<EndOfPreviousCellColumn>,Both of the above.,<EndOfPreviousCellColumn>,None of the above.
